"","idx","positive","negative","sentiment","covid","DateTime","Text"
"1",1,1,0,1,FALSE,"2020-04-11 23:51:58+00:00","Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews!"
"2",2,2,6,-4,TRUE,"2020-04-11 23:34:58+00:00","So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!"
"3",3,5,6,-1,FALSE,"2020-04-11 23:28:18+00:00","Governor @GavinNewsom of California has been very nice & highly supportive about the great job we have done, working together, for California. That is the good news, but this is the bad. He is unfairly under attack by the Radical Left Dems, MSDNC etc. He is strong! Will he fold?"
"4",4,1,0,1,FALSE,"2020-04-11 22:38:29+00:00","I will be watching. HAVE A GREAT EASTER!"
"5",5,4,6,-2,FALSE,"2020-04-11 22:35:35+00:00","The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs & Trade are losers for the U.S., but winners for other countries, including China. If we followed their standards, we’d have no Country left. They should love Sleepy Joe!"
"6",6,3,1,2,FALSE,"2020-04-11 21:53:36+00:00","Watching @FoxNews on weekend afternoons is a total waste of time. We now have some great alternatives, like @OANN."
"7",7,4,5,-1,TRUE,"2020-04-11 21:48:58+00:00","“The President and the Federal Government are doing an excellent job. When they say the death toll isn’t going to be as high as reported, they (the opposition) act like they’re sad because it’s lower. I think they are (Press Conferences) wonderful.” West Virginia Resident, C Span"
"8",8,1,0,1,FALSE,"2020-04-11 21:36:48+00:00","Great editorial by @SenRonJohnson!"
"9",9,1,0,1,TRUE,"2020-04-11 21:08:43+00:00","Wishing all a safe and blessed Easter Sunday. I will be tuning into Pastor @robertjeffress at http://firstdallas.org/liveworship Church in Dallas, Texas tomorrow morning at 10:20 AM Eastern."
"10",10,0,0,0,FALSE,"2020-04-11 18:53:59+00:00","WE WILL BUILD IT AGAIN!"
"11",11,0,2,-2,FALSE,"2020-04-11 18:47:39+00:00","....Does anyone ever notice how few quotes from an actual person are given nowadays by the Lamestream Media. Very seldom. The unnamed or anonymous sources are almost always FAKE NEWS."
"12",12,0,3,-3,FALSE,"2020-04-11 18:43:03+00:00","When the Failing @nytimes or Amazon @washingtonpost writes a story saying “unnamed sources said”, or any such phrase where a person’s name is not used, don’t believe them. Most of these unnamed sources don’t exist. They are made up to defame & disparage. They have no “source”..."
"13",13,5,2,3,FALSE,"2020-04-11 18:33:04+00:00","....economy was shuttered. This is unprecedented, it is unsettling and challenging but, we will rise to meet the occasion.” MACK MCLARTY, Clinton White House Chief of Staff. @LelandVittert @FoxNews Thank you Mack. We will be bigger, better and stronger than ever before!"
"14",14,2,0,2,TRUE,"2020-04-11 18:33:03+00:00","“I think the situation is unprecedented, and there is no question about that. It’s whiplash! The economy was moving forward at a rapid pace in terms of growth, jobs and even wage increases, and all of a sudden the pandemic hit and the...."
"15",15,3,0,3,FALSE,"2020-04-11 16:01:37+00:00","“Trump did a deal with Japan. A lot of our product goes to Japan, and we are booming in North Dakota.” Jim on C Span, Washington Journal. Our Trade Deals will be having a big impact on our Country as they kick in!"
"16",16,0,0,0,FALSE,"2020-04-10 16:44:53+00:00",""
"17",17,2,5,-3,FALSE,"2020-04-10 15:42:10+00:00","Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday, Crazy Bernie Sanders wins virtually every state in a blowout...NOT EVEN CLOSE! I haven’t heard one member of the Fake News Establishment even mention this irrefutable fact. FAKE NEWS!"
"18",18,0,3,-3,FALSE,"2020-04-10 15:15:25+00:00","The Invisible Enemy will soon be in full retreat!"
"19",19,0,6,-6,FALSE,"2020-04-10 14:36:41+00:00","Because the T.V. Ratings for the White House News Conference’s are the highest, the Opposition Party (Lamestream Media), the Radical Left, Do Nothing Democrats &, of course, the few remaining RINO’S, are doing everything in their power to disparage & end them. The People’s Voice!"
"20",20,1,0,1,FALSE,"2020-04-10 14:35:20+00:00","The White House Press Conference will take place today at 1:00 P.M., recognizing that it is Good Friday!"
"21",21,2,0,2,FALSE,"2020-04-10 14:32:33+00:00","HAPPY GOOD FRIDAY TO ALL!"
"22",22,4,0,4,FALSE,"2020-04-10 14:14:28+00:00","Wow, Approval Rating in the Republican Party - 96%. Thank you!"
"23",23,1,0,1,FALSE,"2020-04-10 12:36:15+00:00","Not good Gregg, but it is what it is. Have to save the airlines!"
"24",24,2,0,2,FALSE,"2020-04-10 11:48:26+00:00","Congress must go back to DEDUCTIBILITY by businesses if Restaurants, Clubs & Entertaiment is expected to flourish (like never before)!"
"25",25,1,1,0,FALSE,"2020-04-10 11:32:26+00:00","Democrats are blocking a 251 Billion Dollar funding boost for Small Businesses which will help them keep their employees. It should be for only that reason, with no additions. We should have a big Infrastructure Phase Four with Payroll Tax Cuts & more. Big Economic Bounceback!"
"26",26,1,2,-1,FALSE,"2020-04-10 11:30:20+00:00","This week, in only 4 days, we had the biggest Stock Market increase since 1974. We have a great chance for the really big bounce when the Invisible Enemy is gone!"
"27",27,1,0,1,FALSE,"2020-04-10 04:57:58+00:00","Tim Scott is Great!"
"28",28,1,3,-2,FALSE,"2020-04-10 04:56:21+00:00","Thank you Frank. It’s ABC Fake News. They knew they were wrong when they went with this Hoax of a story!"
"29",29,1,0,1,FALSE,"2020-04-10 04:45:48+00:00","Thank you Erin!"
"30",30,1,0,1,FALSE,"2020-04-10 00:42:29+00:00","....We will always be there for our Great Farmers, Cattlemen, Ranchers, and Producers!"
"31",31,4,1,3,TRUE,"2020-04-10 00:42:28+00:00","I have directed @SecretarySonny to expedite help to our farmers, especially to the smaller farmers who are hurting right now. I expect Secretary Purdue to use all of the funds and authorities at his disposal to make sure that our food supply is stable, strong, and safe...."
"32",32,0,3,-3,FALSE,"2020-04-09 19:35:00+00:00","The Wall Street Journal always “forgets” to mention that the ratings for the White House Press Briefings are “through the roof” (Monday Night Football, Bachelor Finale, according to @nytimes) & is only way for me to escape the Fake News & get my views across. WSJ is Fake News!"
"33",33,2,0,2,FALSE,"2020-04-09 18:39:20+00:00","Great News: Prime Minister Boris Johnson has just been moved out of Intensive Care. Get well Boris!!!"
"34",34,2,2,0,FALSE,"2020-04-09 15:51:56+00:00","On National Former Prisoner of War Recognition Day, we honor the more than 500,000 American warriors captured while protecting our way of life. We pay tribute to these Patriots for their unwavering and unrelenting spirit!"
"35",35,1,1,0,TRUE,"2020-04-09 15:08:05+00:00",".@OANN A key CoronaVirus Model is now predicting far fewer deaths than the number shown in earlier models. That’s because the American people are doing a great job. Social Distancing etc. Keep going!"
"36",36,2,2,0,FALSE,"2020-04-08 23:34:27+00:00","Absentee Ballots are a great way to vote for the many senior citizens, military, and others who can’t get to the polls on Election Day. These ballots are very different from 100% Mail-In Voting, which is “RIPE for FRAUD,” and shouldn’t be allowed!"
"37",37,3,0,3,FALSE,"2020-04-08 23:15:03+00:00","This morning, 450,000 protective suits landed in Dallas, Texas. This was made possible because of the partnership of two great American companies—DuPont and FedEx—and our friends in Vietnam. Thank you! @DuPont_News @FedEx"
"38",38,0,0,0,FALSE,"2020-04-08 22:48:50+00:00",""
"39",39,1,0,1,FALSE,"2020-04-08 20:50:34+00:00","Wishing a HAPPY PASSOVER to those celebrating in the United States, Israel, and around the world!"
"40",40,1,0,1,FALSE,"2020-04-08 20:37:12+00:00","White House news conference at 5:30 P.M. Eastern. Thank you!"
"41",41,5,0,5,FALSE,"2020-04-08 18:11:51+00:00","Extraordinary times require even closer cooperation between friends. Thank you India and the Indian people for the decision on HCQ. Will not be forgotten! Thank you Prime Minister @NarendraModi for your strong leadership in helping not just India, but humanity, in this fight!"
"42",42,1,2,-1,FALSE,"2020-04-08 16:12:24+00:00","Can’t see AOC plus 3 supporting Sleepy Joe!"
"43",43,1,2,-1,FALSE,"2020-04-08 16:09:38+00:00","Wow, Bernie is unwilling to give up his delegates, and wants more of them! What’s that all about?"
"44",44,5,7,-2,FALSE,"2020-04-08 15:49:28+00:00","Bernie Sanders is OUT! Thank you to Elizabeth Warren. If not for her, Bernie would have won almost every state on Super Tuesday! This ended just like the Democrats & the DNC wanted, same as the Crooked Hillary fiasco. The Bernie people should come to the Republican Party, TRADE!"
"45",45,0,0,0,TRUE,"2020-04-08 15:26:20+00:00","FLATTENING OF THE CURVE!"
"46",46,6,4,2,FALSE,"2020-04-08 14:52:56+00:00","Once we OPEN UP OUR GREAT COUNTRY, and it will be sooner rather than later, the horror of the Invisible Enemy, except for those that sadly lost a family member or friend, must be quickly forgotten. Our Economy will BOOM, perhaps like never before!!!"
