"","word","n"
"1","news",119
"2","people",104
"3","democrats",94
"4","president",86
"5","house",72
"6","amp",70
"7","foxnews",66
"8","impeachment",65
"9","american",63
"10","bernie",58
"11","mike",57
"12","mini",57
"13","country",56
"14","democrat",56
"15","job",55
"16","party",54
"17","coronavirus",50
"18","time",50
"19","military",49
"20","america",48
"21","republican",46
"22","united",43
"23","history",42
"24","congress",41
"25","don’t",40
"26","federal",38
"27","vote",38
"28","dems",37
"29","usa",36
"30","china",35
"31","iran",35
"32","kag2020",35
"33","white",35
"34","day",34
"35","joe",34
"36","media",34
"37","senate",34
"38","total",34
"39","complete",32
"40","left",31
"41","p.m",31
"42","maga",30
"43","russia",30
"44","york",30
"45","money",29
"46","u.s",29
"47","world",28
"48","government",27
"49","it’s",27
"50","republicans",27
"51","vets",27
"52","border",26
"53","election",26
"54","jobs",26
"55","national",26
"56","doesn’t",25
"57","economy",25
"58","foxandfriends",25
"59","iowa",25
"60","texas",25
"61","americans",24
"62","deal",24
"63","record",24
"64","schiff",24
"65","nancy",23
"66","trade",23
"67","bloomberg",22
"68","campaign",22
"69","conference",22
"70","court",22
"71","senator",22
"72","witch",22
"73","00",21
"74","2a",21
"75","didn’t",21
"76","john",21
"77","sleepy",21
"78","tonight",21
"79","totally",21
"80","administration",20
"81","biden",20
"82","cnn",20
"83","true",20
"84","borders",19
"85","chuck",19
"86","happen",19
"87","including",19
"88","quickly",19
"89","sanders",19
"90","countries",18
"91","night",18
"92","presidential",18
"93","shifty",18
"94","stop",18
"95","times",18
"96","wall",18
"97","3",17
"98","carolina",17
"99","continue",17
"100","decision",17
"101","hope",17
"102","mueller",17
"103","pelosi",17
"104","rating",17
"105","schumer",17
"106","security",17
"107","trial",17
"108","watch",17
