"","word","n"
"1","government",6986
"2","congress",4973
"3","united",4797
"4","people",3970
"5","country",3360
"6","public",3066
"7","time",2889
"8","war",2793
"9","american",2683
"10","world",2327
"11","national",2126
"12","law",2076
"13","power",1969
"14","citizens",1837
"15","act",1823
"16","nations",1811
"17","nation",1805
"18","service",1685
"19","system",1671
"20","foreign",1571
"21","america",1498
"22","subject",1431
"23","federal",1421
"24","department",1365
"25","policy",1336
"26","laws",1328
"27","legislation",1263
"28","treaty",1259
"29","increase",1212
"30","business",1187
"31","duty",1180
"32","trade",1147
"33","treasury",1133
"34","commerce",1095
"35","union",1090
"36","means",1080
"37","action",1079
"38","attention",1072
"39","military",1062
"40","rights",1061
"41","report",1049
"42","security",1039
"43","countries",1024
"44","future",1024
"45","secretary",1023
"46","purpose",1001
"47","consideration",984
"48","amount",971
"49","relations",969
"50","force",959
"51","president",948
"52","past",941
"53","constitution",930
"54","economic",919
"55","powers",911
"56","administration",883
"57","fiscal",883
"58","day",881
"59","condition",877
"60","officers",866
"61","economy",864
"62","americans",859
"63","continue",858
"64","governments",855
"65","mexico",852
"66","expenditures",846
"67","hope",828
"68","tax",826
"69","commission",820
"70","navy",819
"71","authority",817
"72","international",813
"73","life",813
"74","labor",811
"75","duties",805
"76","revenue",804
"77","question",802
"78","session",800
"79","justice",793
"80","executive",785
"81","period",783
"82","land",777
"83","effect",775
"84","increased",773
"85","territory",764
"86","money",761
"87","army",753
"88","program",752
"89","result",746
"90","meet",745
"91","measures",742
"92","control",729
"93","home",722
"94","defense",720
"95","health",708
"96","provide",704
"97","view",703
"98","care",686
"99","lands",679
"100","political",679
