"","word","n"
"1","news",119
"2","people",104
"3","democrats",94
"4","fake",87
"5","president",86
"6","house",72
"7","amp",70
"8","trump",69
"9","foxnews",66
"10","impeachment",65
"11","american",63
"12","bernie",58
"13","hoax",58
"14","mike",57
"15","mini",57
"16","country",56
"17","democrat",56
"18","job",55
"19","party",54
"20","strong",54
"21","coronavirus",50
"22","time",50
"23","military",49
"24","america",48
"25","republican",46
"26","win",45
"27","united",43
"28","history",42
"29","congress",41
"30","don’t",40
"31","federal",38
"32","vote",38
"33","dems",37
"34","usa",36
"35","china",35
"36","iran",35
"37","kag2020",35
"38","white",35
"39","day",34
"40","endorsement",34
"41","hard",34
"42","joe",34
"43","media",34
"44","senate",34
"45","total",34
"46","complete",32
"47","crazy",31
"48","left",31
"49","p.m",31
"50","corrupt",30
"51","maga",30
"52","russia",30
"53","york",30
"54","bad",29
"55","money",29
"56","u.s",29
"57","world",28
"58","crime",27
"59","government",27
"60","it’s",27
"61","republicans",27
"62","vets",27
"63","border",26
"64","election",26
"65","jobs",26
"66","national",26
"67","doesn’t",25
"68","economy",25
"69","foxandfriends",25
"70","iowa",25
"71","radical",25
"72","texas",25
"73","americans",24
"74","deal",24
"75","record",24
"76","schiff",24
"77","wonderful",24
"78","love",23
"79","nancy",23
"80","trade",23
"81","virus",23
"82","bloomberg",22
"83","campaign",22
"84","conference",22
"85","court",22
"86","loves",22
"87","senator",22
"88","witch",22
"89","00",21
"90","2a",21
"91","didn’t",21
"92","john",21
"93","sleepy",21
"94","tonight",21
"95","totally",21
"96","administration",20
"97","biden",20
"98","cnn",20
"99","incredible",20
"100","protect",20
"101","support",20
"102","true",20
