,DateTime,Text
0,2020-04-11 23:51:58+00:00,Will be interviewed by @JudgeJeanine tonight at 9:00 P.M. Eastern on @FoxNews!
1,2020-04-11 23:34:58+00:00,"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!"
2,2020-04-11 23:28:18+00:00,"Governor @GavinNewsom of California has been very nice &amp; highly supportive about the great job we have done, working together, for California. That is the good news, but this is the bad. He is unfairly under attack by the Radical Left Dems, MSDNC etc. He is strong! Will he fold?"
3,2020-04-11 22:38:29+00:00,I will be watching. HAVE A GREAT EASTER!
4,2020-04-11 22:35:35+00:00,"The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs & Trade are losers for the U.S., but winners for other countries, including China. If we followed their standards, we’d have no Country left. They should love Sleepy Joe!"
5,2020-04-11 21:53:36+00:00,"Watching @FoxNews on weekend afternoons is a total waste of time. We now have some great alternatives, like @OANN."
6,2020-04-11 21:48:58+00:00,"“The President and the Federal Government are doing an excellent job. When they say the death toll isn’t going to be as high as reported, they (the opposition) act like they’re sad because it’s lower. I think they are (Press Conferences) wonderful.” West Virginia Resident, C Span"
7,2020-04-11 21:36:48+00:00,Great editorial by @SenRonJohnson!
8,2020-04-11 21:08:43+00:00,"Wishing all a safe and blessed Easter Sunday. I will be tuning into Pastor @robertjeffress at http://firstdallas.org/liveworship Church in Dallas, Texas tomorrow morning at 10:20 AM Eastern."
9,2020-04-11 18:53:59+00:00,WE WILL BUILD IT AGAIN!
10,2020-04-11 18:47:39+00:00,....Does anyone ever notice how few quotes from an actual person are given nowadays by the Lamestream Media. Very seldom. The unnamed or anonymous sources are almost always FAKE NEWS.
11,2020-04-11 18:43:03+00:00,"When the Failing @nytimes or Amazon @washingtonpost writes a story saying “unnamed sources said”, or any such phrase where a person’s name is not used, don’t believe them. Most of these unnamed sources don’t exist. They are made up to defame &amp; disparage. They have no “source”..."
12,2020-04-11 18:33:04+00:00,"....economy was shuttered. This is unprecedented, it is unsettling and challenging but, we will rise to meet the occasion.” MACK MCLARTY, Clinton White House Chief of Staff. @LelandVittert @FoxNews Thank you Mack. We will be bigger, better and stronger than ever before!"
13,2020-04-11 18:33:03+00:00,"“I think the situation is unprecedented, and there is no question about that. It’s whiplash! The economy was moving forward at a rapid pace in terms of growth, jobs and even wage increases, and all of a sudden the pandemic hit and the...."
14,2020-04-11 16:01:37+00:00,"“Trump did a deal with Japan. A lot of our product goes to Japan, and we are booming in North Dakota.” Jim on C Span, Washington Journal. Our Trade Deals will be having a big impact on our Country as they kick in!"
15,2020-04-10 16:44:53+00:00,
16,2020-04-10 15:42:10+00:00,"Nobody wants to say that if Elizabeth Warren gets out of the race before Super Tuesday, Crazy Bernie Sanders wins virtually every state in a blowout...NOT EVEN CLOSE! I haven’t heard one member of the Fake News Establishment even mention this irrefutable fact. FAKE NEWS!"
17,2020-04-10 15:15:25+00:00,The Invisible Enemy will soon be in full retreat!
18,2020-04-10 14:36:41+00:00,"Because the T.V. Ratings for the White House News Conference’s are the highest, the Opposition Party (Lamestream Media), the Radical Left, Do Nothing Democrats &, of course, the few remaining RINO’S, are doing everything in their power to disparage & end them. The People’s Voice!"
19,2020-04-10 14:35:20+00:00,"The White House Press Conference will take place today at 1:00 P.M., recognizing that it is Good Friday!"
20,2020-04-10 14:32:33+00:00,HAPPY GOOD FRIDAY TO ALL!
21,2020-04-10 14:14:28+00:00,"Wow, Approval Rating in the Republican Party - 96%. Thank you!"
22,2020-04-10 12:36:15+00:00,"Not good Gregg, but it is what it is. Have to save the airlines!"
23,2020-04-10 11:48:26+00:00,"Congress must go back to DEDUCTIBILITY by businesses if Restaurants, Clubs & Entertaiment is expected to flourish (like never before)!"
24,2020-04-10 11:32:26+00:00,"Democrats are blocking a 251 Billion Dollar funding boost for Small Businesses which will help them keep their employees. It should be for only that reason, with no additions. We should have a big Infrastructure Phase Four with Payroll Tax Cuts & more. Big Economic Bounceback!"
25,2020-04-10 11:30:20+00:00,"This week, in only 4 days, we had the biggest Stock Market increase since 1974. We have a great chance for the really big bounce when the Invisible Enemy is gone!"
26,2020-04-10 04:57:58+00:00,Tim Scott is Great!
